	user	text	location	date
35	dmacproductins	Hoping to perform at LTC Indie Artist Showcase @LocalTalentConnect ! Check it out here:  https://t.co/39LilyuCR0 https://t.co/rmgXop7bi1	San Antonio,Texas 78247	2019-07-19 00:45:32
36	robostopia	"💰 Market Cap: $289,492,681,825
👊 BTC Dominance: 65.76%
❤ BTC: $10674.1469094
❤ ETH: 0.02114016 BTC
❤ XRP: 0.0000301… https://t.co/9VmdIfyrUy"	World	2019-07-19 00:45:02
37	thirdbrainfx	"Check all here --&gt; https://t.co/S1I0bD8b2s 
On #Exmo #ETH to #USD -- &gt; 226.04793, volume --&gt; 6276 
On #Livecoin… https://t.co/jE0GdMGaix"	Lausanne (Switzerland)	2019-07-19 00:45:01
38	iamenthused	Actually, $NEO is so much better than $LTC	THE MOON	2019-07-19 00:44:09
39	Another_LTC_Guy	@SquawkCNBC @JoeSquawk @stevenmnuchin1 This guy is a uhh, how you you say ummm..🤔....☝🏼 got it. TAAARRRRRRD!! Cash… https://t.co/Mr9fBIl9ws	Los Angeles, CA	2019-07-19 00:43:51
40	BlockCAN1	@ltc_angel What is a wassie?		2019-07-19 00:43:23
41	AgentOrren	@mrlevelup I've been calling it actually. If you look at my twitter feed I've been sort of on it thr past month and… https://t.co/E1VJIlT0cY	Texas, USA	2019-07-19 00:43:08
42	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10643.57 $ (-0.43 %)
$ETH - 224.51 $   (-1.32 %)
$XRP - 0.32 $     (-1.1… https://t.co/80CdKFJ3Ot"		2019-07-19 00:42:48
43	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10675.8 $   (-0.28 %)
$ETH   - 225.28 $    (-1.37 %)
$XRP   - 0.32 $… https://t.co/ovlbV6e45o"		2019-07-19 00:42:42
44	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10640.03 $  (-0.55 %)
$ETH - 224.92 $    (-1.09 %)
$XRP - 0.32 $      (-… https://t.co/iz9WgvwPjZ"		2019-07-19 00:42:42
45	coin_whisperer	Sign up now to https://t.co/nlKr7xlSJq and jump on this  BITMEX killer boat before too late !!!    BTC / BCH deposi… https://t.co/xujf6OWpSX	moon (obviously)	2019-07-19 00:41:48
46	kush272	@AstroCryptoGuru Ltc also topped out 14 days before btc did on june 12th and btc topped june 26th 😬		2019-07-19 00:41:09
47	SkylerBTC	@ltc_angel https://t.co/1qGI6WaDFX whenever I read or see your tweets this song pops into my head lol idk why tho 😄😂	Blockchain, Node	2019-07-19 00:41:09
48	JoannOceanfalls	@LTC_Hunter Bulb broke		2019-07-19 00:40:50
49	SanityCrypto	@ltc_angel This should’ve ended 5 minutes after it began	Los Angeles, CA	2019-07-19 00:40:10
50	Orbital_Lexicon	Imagine selling your $LTC at $140 and buying it back at $80. I didn't, but just imagine it.	NC	2019-07-19 00:39:22
51	jasonclarktwit	"don't miss out on registering on Binance, before they close registrations again

 https://t.co/tmxmHXx53B

 $BTC… https://t.co/zsaOgulLM8"		2019-07-19 00:39:21
52	exploitfx	Correction: #4hrStrategy1 still in the LTC long https://t.co/oqbVqyROhM		2019-07-19 00:38:18
53	BoersenMedien	#Ethereum #ETH drops -1.51% in one hour. #Litecoin #LTC drops -1.81% in one hour. #Bitcoin Cash #BCH drops -1.43% in one hour.	Berli	2019-07-19 00:38:02
54	AstroCryptoGuru	@kush272 Interesting...thanks.... LTC does often lead the trend.	astrocryptoreport@gmail.com	2019-07-19 00:36:10
55	Cryptonav2021	@ltc_angel Got a revisited prediction of the above ! $29k in July ! But I’m skeptical	England, United Kingdom	2019-07-19 00:36:10
56	jedrow1973	@theresaboyle @drbobbell Finally the real discussion! But unless we find a way to solve the cost of the people requ… https://t.co/e3gtICS2ti		2019-07-19 00:35:34
57	cryptoexp94930I	"See Last 3 days' Premium results!!!

Free crypto channel, Join https://t.co/32ccNHpY0X

$DGB $DOGE $XTZ $XLM… https://t.co/vn9vvL8L7J"		2019-07-19 00:34:55
58	CryptoAmb	"Warren Buffett is not, and won't ever be into Bitcoin, claims Litecoin's Charlie Lee

https://t.co/FfzihUpuuC… https://t.co/O7ajSa2fkj"		2019-07-19 00:34:00
59	DongleDood	@Ye_De_De @MVD731 Here’s my full 50. Elegant didn’t really have any astounding results before LTC 7. And Big D and… https://t.co/Xf1woe8YqW	MD/VA	2019-07-19 00:33:45
60	btc_update	"Join the club at https://t.co/OFxbPHVMF0
5 BTC Bonus &amp; Live dealers
#blackjack #bitcoin #btc #casino #bet #gamble… https://t.co/MjniB7xjTM"		2019-07-19 00:33:15
61	AkashiDuela	"@CRSDCrusader oh you

First impression: This dude is taking my lunch money lol
Your super secret nickname of doom:… https://t.co/4S0HpRlnSX"	Larchmont, NY	2019-07-19 00:32:09
62	kush272	@AstroCryptoGuru if you have a look at ltc its running approx 14 days ahead of btc right now and it has done a 47%… https://t.co/yLMmj3mfWk		2019-07-19 00:31:31
63	robostopia	"💰 Market Cap: $288,199,164,245
👊 BTC Dominance: 65.74%
1️⃣ BTC: $10,628.36 | 1H: -0.53%
2️⃣ ETH: $224.39 | 1H: -1.2… https://t.co/Cy4SFaN6OX"	World	2019-07-19 00:30:17
64	thirdbrainfx	"Check all here --&gt; https://t.co/S1I0bD8b2s 
On #Hitbtc #XRP to #ETH -- &gt; 0.00141527, volume --&gt; 764794 
On #Exmo… https://t.co/HbCp3xeQW9"	Lausanne (Switzerland)	2019-07-19 00:30:02
65	TronixMan	"#Gaming just got interesting. Check out @GameitIo 

Also join our #telegram to find out more
-… https://t.co/rQfWa4jyqz"	Australia	2019-07-19 00:29:03
66	BeastlySSB	"@YamsEverywhere_ first impression: Chris’ Lover
your nickname in my head: Yams
closeness ratings: 6/10
do i like yo… https://t.co/Kl04xAIal1"	Dallas, TX	2019-07-19 00:27:58
67	CryptoKate4	"$FET All TP hit.💥

For more signals,join telegram- https://t.co/hIDmX0b13B

$AE $BLOCK $KEY $OCN $NTY $RDN $BTC… https://t.co/OwS4QGPICS"		2019-07-19 00:25:56
68	PonyBoy145	Am I the only one who can’t find the LTC day 3 top 8 for Super Smash Bros Ultimate?	New Jersey, USA	2019-07-19 00:24:09
69	Flourish_Venkat	"I have now moved up my Stop on $BTC $BTCUSD to 10450 (locks in +750).
Stop on $LTC $LTCUSD trailed to 95 (locks in… https://t.co/fxmaSzOP6Y"		2019-07-19 00:23:46
70	btc_update	"Match time [02:00 GMT] Portland Timbers vs Orlando City ;
Bet at https://t.co/OFxbPHVMF0 by #bitcoin #btc #soccer… https://t.co/oc8zBf4Ebc"		2019-07-19 00:23:17
71	Mangofiend	$LTC looks gassed at this point on the LTF’s. Took profits. Watching it over the weekend		2019-07-19 00:23:05
72	kimlovesdisney1	@AnnBoyd64 Again I get it.  Worked in a LTC pharmacy for 20 years. With every level of locked psychiatric facilitie… https://t.co/iJNSJ8Lbe9	Eagle idaho	2019-07-19 00:22:12
73	cryptodataDL	Free #crypto data sets in CSV format by exchange and Daily / Hourly timeframes --&gt; https://t.co/ASVxajA9vY - no reg… https://t.co/mZimhpa9Qo	The web	2019-07-19 00:21:17
74	Cryptoslastnews	"LTC/USD: Inverse Head &amp; Shoulders!

LTC/USD COINBASE:LTCUSD

Edgy_

Litecoin currently has an inverse H&amp;S potential… https://t.co/cQK18ZWotx"		2019-07-19 00:20:52
75	Cryptoc46572563	"Major Cryptocurrency latest prices(18,Jul 20:20)

[Bitcoin(BTC)]  10,607.18 USD
[Ethereum(ETH)]  223.97 USD
[XRP(XR… https://t.co/l8wKVTD7eo"	United States	2019-07-19 00:20:27
76	incoinsbot	"#crypto prices update 1h 
 
$BTC $10627.48 -0.38%🔻
$ETH $224.76 -0.66%🔻
$XRP $0.32 -0.83%🔻
$LTC $100.29 -1.82%🔻… https://t.co/RvReOrOdGc"	Bot, Thailand	2019-07-19 00:20:26
77	JesseSugar2	"$ltc

Anyone notice the fuckery going on with the btc pair on binance?  Huge sell wall keeps popping in and out"		2019-07-19 00:20:06
78	ethersnews	Litecoin Worth Evaluation: LTC Leads Altcoin Restoration - Ethers News -Daily Crypto currency Feed https://t.co/AR5yIUvFmB by @ethersnews	Lewes, DE	2019-07-19 00:20:01
79	GlobalTaxSol	@AdamC927 According to my TA, all will go up, but $LTC will be stronger than $BTC...	Mars	2019-07-19 00:19:31
80	jasonclarktwit	"don't miss out on registering on Binance, before they close registrations again

 https://t.co/tmxmHXx53B

 $BTC… https://t.co/AQbRViKOCM"		2019-07-19 00:19:21
81	13th_Dimension	13 COVERS: A 50th Anniversary VAMPIRELLA Celebration: https://t.co/e0Acohns3m https://t.co/K8fJi8vIqP		2019-07-19 00:18:00
82	crypto_news24	"#Litecoin Surpasses $100 While #Bitcoin Returns To $10,000 Once Again (Usethe#Bitcoin) 
Both #Litecoin (LTC) and… https://t.co/N3P00OSW6b"	London, England	2019-07-19 00:17:45
83	CryptoGulp	"Top 10 Cryptocurrencies prices during the past hour

The biggest winner of the hour was Tether $USDT, reaching a pr… https://t.co/otFgyDrIIK"	🌐	2019-07-19 00:15:32
84	robostopia	"💰 Market Cap: $288,065,023,212
👊 BTC Dominance: 65.7%
❤ BTC: $10636.2433861
❤ ETH: 0.02122016 BTC
❤ XRP: 0.00003035… https://t.co/GI4miaONok"	World	2019-07-19 00:15:03
85	Testie403	"Top 5 by Mrkt Cap
Name    Price      24Hr %    7d %
BTC     10636.2433861+9.64        -6.76     
ETH     225.166819… https://t.co/PAxaPVqymW"		2019-07-19 00:15:02
86	dorfelo	@ArmadaUGS @coneyzz LTC did it perfect	United States	2019-07-19 00:14:19
87	jasonclarktwit	this channel called $DGB before it made 6x. they only share high reward, low risk signals. join:… https://t.co/XbGb5Ervz1		2019-07-19 00:14:17
88	coin_whisperer	Sign up now to https://t.co/nlKr7xlSJq and jump on this  BITMEX killer boat before too late !!!   worth totry… https://t.co/MWTEIMmJSC	moon (obviously)	2019-07-19 00:11:40
89	anb__aio	"📈Want to trade cryptocurrencies?📉
Best exchange on market, high volumes, low commission!
🔝 It's Binance! Visit ✅… https://t.co/npDaT5ZbyG"		2019-07-19 00:11:29
90	gator_bitcoin	@PrebenWulff @ltc_angel Just till 120	The Swamp🐊Go Gators! Go BTC!	2019-07-19 00:10:09
91	bitsmart_ltc	LTC $101.08 Down -$0.08 -0.08% in the last hour #litecoin #bitsmart		2019-07-19 00:09:26
92	PrebenWulff	@gator_bitcoin @ltc_angel You the Litecoin Florida Gator now or what? 😂		2019-07-19 00:08:47
93	tq_crypto	"$LTCCNY rallies, gaining CN¥118.94 (19.24%) within a single day: https://t.co/N4XS8PTRor
Sentiment: Bullish #LTC #Litecoin"	Ber	2019-07-19 00:07:02
94	s1x0n36	yo.. im lovin these alts rn.. ltc up 14% eth up 9%.. im seein em double soon	NEW MOUNT ZION	2019-07-19 00:06:23
95	tq_crypto	"$LTCJPY misses to close above 100-day moving average: https://t.co/DU62UMLSv4
Sentiment: Bullish #LTC #Litecoin"	Ber	2019-07-19 00:06:15
96	CryptoPriceLTC	"Litecoin Overview - 24 Hour:

Average $LTC price across exchanges: $100.40
Change: $10.77 (+12.02%)
High: $104.10
L… https://t.co/par4b08xfg"	Everywhere	2019-07-19 00:06:08
97	aorabi85	Track OVERSOLD RSI, MACD CROSSOVERS, PRICE INCREASES with https://t.co/I6fKs4Qg0V see where the market is moving be… https://t.co/NvLClFTYvi		2019-07-19 00:05:53
98	alandrummond2	@theresaboyle @drbobbell I respect Dr Bell. Where perhaps we may disagree is with respect to acute care hospital be… https://t.co/KI9mpUzUML	Perth, Ontario,Canada	2019-07-19 00:05:48
99	CryptomaQ	"Bitcoin Isn’t Going Away – What Congress Needs to Understand About Cryptos https://t.co/ReaRcMhmnv 

#bitcoin… https://t.co/oRevlMyXni"		2019-07-19 00:04:18
100	LTC_VinceVaughn	My week on Twitter 🎉: 10 Mentions, 25 Likes, 3 Retweets, 101 Retweet Reach, 4 New Followers. See yours with… https://t.co/CfpXeA8K1Z	United States	2019-07-19 00:04:04
101	tq_crypto	"$LTCBTC pushes through key technical resistance level: https://t.co/1HqRNXtouy
Sentiment: Neutral #LTC #Litecoin"	Ber	2019-07-19 00:03:35
102	techniquant	"$LTCBTC pushes through key technical resistance level: https://t.co/9wKZLDq1zB
Sentiment: Neutral #LTC #Litecoin"		2019-07-19 00:03:35
103	litecoin_price_	"Price of 1 LTC to USD: $101.16 (Change: 0.0 %)
Price of 1 LTC to BTC: 0.00950242 Ƀ (Change: -0.64 %)
#litecoin #LTC $LTC"	Bulgaria	2019-07-19 00:02:57
104	NewellArt	"Do you think #Trump used media to lower #bitcoin prices so he keep buy-in cheaper?
 #BTC #ETH #LTC #XRP #TRX #BCH… https://t.co/40lbZv3e4e"	Sterling Heights, MI	2019-07-19 00:02:24
105	AlexKim	Jul 18 Issue: … https://t.co/HVfdzaKxHK #blockchain #insurtech #insurance #kyc #ai #iot #btc #eth #ltc #xrp #corda #cordaenterprise	San Juan, Puerto Rico	2019-07-19 00:02:00
106	tq_crypto	"$LTCUSD pushes through Wednesday's high: https://t.co/WgmEq8XrTS
Sentiment: Bullish #LTC #Litecoin"	Ber	2019-07-19 00:01:48
107	techniquant	"$LTCUSD pushes through Wednesday's high: https://t.co/TwbHLjgGNo
Sentiment: Bullish #LTC #Litecoin"		2019-07-19 00:01:48
108	btcscal	"A chance in a million!
#bitcoin #bitcoincash #ripple #ethereum #ethereumclassic #zcash #monero #btc #bch #xrp #eth… https://t.co/YK6RWY2ElY"		2019-07-19 00:01:17
109	PammAdvisor	Live Training: Swing Trading Strategy Using Bollinger Bands + SAM, TSLA, DIS, LTC, &amp; CGC https://t.co/85aCYL56mb https://t.co/Tc4iCdnkKf	Oporto, Portugal	2019-07-19 00:01:12
110	CryptoGulp	"Top 5 Cryptocurrencies Prices

Bitcoin $BTC: $10,653.96 ⬆️ +0.35%
Ethereum $ETH: $226.66 ⬆️ +0.78%
XRP $XRP: $0.323… https://t.co/temdgK7biY"	🌐	2019-07-19 00:00:20
111	robostopia	"💰 Market Cap: $289,361,648,078
👊 BTC Dominance: 65.71%
1️⃣ BTC: $10,666.48 | 1H: 0.52%
2️⃣ ETH: $226.57 | 1H: 0.78%… https://t.co/6tDr44f50s"	World	2019-07-19 00:00:20
112	coinstats	"Litecoin - LTC
Price: $101.09
Change in 1h: -0.16%
Market cap: $6,340,559,063.00
Ranking: 4
#Litecoin #LTC"	Blockchain	2019-07-19 00:00:17
113	coinalert_live	"#ORS - Sharp decrease 1h: -10.3% V: 4.2M$ on https://t.co/yect2mrJfv 

Users are notified 1H ago via… https://t.co/AdlXT08s44"		2019-07-19 00:00:08
114	LTCtoUSD	One LTC is currently worth $101.08 USD		2019-07-19 00:00:06
115	CoinTrendz	"Top 10 Mentions on Twitter in the last hour - $BTC $ETH $XRP $LINK $LTC $EOS $SLV $BCH $XLM $BNB 

More on… https://t.co/ivcNAugJrW"		2019-07-19 00:00:02
116	thesignalio	"Join 'The Signal Premium' 

- Daily early trade Signals
- 80% success rate
- Premium Telegram &amp; Twitter access
- fo… https://t.co/StLFwuTYrP"	London/Tokyo	2019-07-19 00:00:02
117	cryptoticker247	"Current prices and changes in the last hour:

$BTC: $10653.96 | 0.35%
$ETH: $226.66 | 0.78%
$XRP: $0.322964 | -0.17… https://t.co/gY1hTltdPp"		2019-07-19 00:00:02
118	jasonclarktwit	"don't miss out on registering on Binance, before they close registrations again

 https://t.co/tmxmHXx53B

 $BTC… https://t.co/sefv5Ay2aR"		2019-07-18 23:59:20
119	WorldCoinIndex	Cryptocurrencies $ETH $LTC $DASH $XMR $ZCASH https://t.co/Vn54eNYPhz https://t.co/dYKojqTPqu		2019-07-18 23:59:04
120	btc_update	"Trump Tweets Crypto Rant — What Is the Bitcoin Reference Really About? https://t.co/WK379CKObk
#bitcoin #crypto… https://t.co/f3Mh33L2Jo"		2019-07-18 23:58:26
121	TomD28170101	"$ETH long TP3 hit.💥

For more info, join telegram https://t.co/8Jx4RHdHx6

$XMR $PIVX $HT $ENJ $BNB $BTC $HPB $MTL… https://t.co/IX5U9n1wdN"		2019-07-18 23:58:08
122	OnBeforeDawn	Hey $LTC, if it wasn't for $LINK, my portfolio would look like shit. When are you rallying #Litecoin?		2019-07-18 23:55:32
123	btchomero	"Clearly very few held or did something again. LTC and Doge are still ok looking and held relatively well... 

Some… https://t.co/KaVVrUgdK0"		2019-07-18 23:55:21
124	aWebAnalysis	"Litecoin LTC Current Price:
$101.54
1 Hour: 0.50 % | 24 Hours: 13.11 % | 7 Days: -1.28 %
#ltc #litecoin"	New York, NY	2019-07-18 23:55:06
125	markusismail	i fucking love (hate) ltc😩😩👌🏼	London, Ontario, Canada	2019-07-18 23:55:04
126	ChefWebbster	@TweekSsb why didnt you just lose to @GDSandstorm at LTC	Texas, USA	2019-07-18 23:54:29
127	realtordecarlo	My Step Father was an incredible man. See you on the other side some day.  Ltc William D Smith, June 21, 1943 - July 13, 2019	Hoover, AL	2019-07-18 23:54:22
128	WotokenUniverse	"WOR to REAL MONEY, YES YES!

Install WoToken now! 
Android / iPhone: (link: https://t.co/DuVG0Q4K4N)… https://t.co/I5GjRkilkb"		2019-07-18 23:53:25
129	TheBrownSaiyan	How does one explain the magic of LTC to someone who’s never been?	Memory Lane	2019-07-18 23:53:20
130	cryptoexp74004	"$ENJ ST1 Hit! 18% Profit in a day!

For Free signals https://t.co/I9jTN9RkOk

$DDD $PLR $ETP $FUN $SC $NXT $LTC… https://t.co/AQj9YuRMS6"		2019-07-18 23:51:54
131	cryptocupcake	@wasserpest @ltc_angel dear god what have I done	New York, NY	2019-07-18 23:51:44
132	MagicCryptoBal1	Who else gets anxiety watching your crypto portfolio each week? 😂🔮 $XRP $BTC $ETH $TRX $BTT $LTC	Somewhere over the moon	2019-07-18 23:50:42
133	cryptocupcake	@ltc_angel @wasserpest might have to turn into an anime, but what about wassie :(	New York, NY	2019-07-18 23:50:16
134	coin_whisperer	Sign up now to https://t.co/nlKr7xlSJq and jump on this  BITMEX killer boat before too late !!!   most trustworthy… https://t.co/0ICxyHYkRI	moon (obviously)	2019-07-18 23:50:04
135	ltc_angel	@wasserpest @cryptocupcake Shows your high IQ	On the blockchain 00110110 001	2019-07-18 23:49:26
136	please01417095	"BTC,ETH,ETC,LTC,BCH,MONA
Please send　
#Bitcoin #VirtualCurrency"		2019-07-18 23:49:00
137	Spitfire_988	@Investnoir You accept LTC for Cubans? I’ll snag a few for sure	Miami, Florida	2019-07-18 23:46:11
138	thirdbrainfx	"Check all here --&gt; https://t.co/S1I0bD8b2s 
On #C-Cex #LTC to #BTC -- &gt; 0.0124, volume --&gt; 60 
On #Poloniex #NMC to… https://t.co/Qia0CC5DYv"	Lausanne (Switzerland)	2019-07-18 23:45:02
139	robostopia	"💰 Market Cap: $290,661,856,399
👊 BTC Dominance: 65.66%
💚 BTC: $10706.8777833
💚 ETH: 0.02132921 BTC
💚 XRP: 0.0000303… https://t.co/19BKhFGzhl"	World	2019-07-18 23:45:02
140	ltc_angel	@gator_bitcoin Much love &lt;3	On the blockchain 00110110 001	2019-07-18 23:43:18
141	ase63series1978	LTC coming for that spot xrp. Keep dropping cents.		2019-07-18 23:43:01
142	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10689.29 $ (+1.05 %)
$ETH - 227.51 $   (+1.68 %)
$XRP - 0.32 $     (+0.7… https://t.co/e77YLwtfHz"		2019-07-18 23:42:35
143	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10705.3 $   (+0.95 %)
$ETH   - 228.42 $    (+1.6 %) 
$XRP   - 0.32 $… https://t.co/lpSlI3lPGL"		2019-07-18 23:42:29
144	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10699.19 $  (+1.14 %)
$ETH - 227.4 $     (+1.59 %)
$XRP - 0.32 $      (+… https://t.co/1QKwYukKQc"		2019-07-18 23:42:29
145	cryptocupcake	@ltc_angel I'd tap that	New York, NY	2019-07-18 23:42:22
146	cryptocupcake	@ltc_angel hehe meaning we da ultimate trollz :)	New York, NY	2019-07-18 23:42:02
147	lordofthebags	@ltc_angel Ok Scammer	Seattle, WA	2019-07-18 23:41:59
148	ltc_angel	@cryptocupcake I can😏	On the blockchain 00110110 001	2019-07-18 23:41:39
149	SchlegelVillage	Residents and Team Members @FairviewLTC enjoy summer with virgin mojitos made with fresh mint from their very own g… https://t.co/HowY6EOv8Y	Ontario	2019-07-18 23:41:02
150	alexjavier1586	@tierotiero @santisiri @udiWertheimer @ercwl The official gov system for exchanging cryptocurrencies ( (only BTC &amp;… https://t.co/ly71q5m6lK	Lausanne, Suisse	2019-07-18 23:40:57
151	analyst5_bot	"#crypto mkt cap last hour

🚀
$BTC +1.120b
$ETH +363.754m
$LTC +107.840m

🌧️
$TRX -2.863m
$REP -1.265m
$WAVES -858.8… https://t.co/vxd87bNu7N"		2019-07-18 23:40:48
152	gator_bitcoin	@ltc_angel Love ❤️ https://t.co/cNo7iQNzCu	The Swamp🐊Go Gators! Go BTC!	2019-07-18 23:40:37
153	carlos_glory	"$LTC hit TP1, 114% Profits🚀

For free signals, join telegram https://t.co/fgLZXl3qep

$ICX $MTL $PLR $POE $SAFEX… https://t.co/ENrq9z0pHs"	New Jersey, USA	2019-07-18 23:40:28
154	CryptoWallyXRP	"We’re a lot closer to regulation coming through then we think. Only a matter of time! 

#Hodl #vet #xrp #btc #ltc #eth #xlm"		2019-07-18 23:40:13
155	cryptocupcake	@ltc_angel LOL can't troll the trolls :)	New York, NY	2019-07-18 23:40:08
